,num_barcodes,barcode_length_in_aa,num_oligos,is_capped
6547,3,4,286262.0,False
6548,5,1,9.0,False
6549,5,2,382.0,False
6550,5,3,11265.0,False
6551,5,4,190650.0,False
6552,1,1,20.0,False
6553,1,2,221.0,False
6554,1,3,18927.0,False
6555,1,4,204391.0,False
6556,1,5,10000000.0,True
6557,3,1,16.0,False
6558,3,2,130.0,False
6559,3,3,11547.0,False
6560,3,4,353850.0,False
6561,5,1,7.0,False
6562,5,2,327.0,False
6563,5,3,13972.0,False
6564,5,4,322689.0,False
6565,1,1,7.0,False
6566,1,2,654.0,False
6567,1,3,16732.0,False
6568,1,4,500589.0,False
6569,1,5,10000000.0,True
6570,3,1,13.0,False
6571,3,2,439.0,False
6572,3,3,14011.0,False
6573,3,4,564035.0,False
6574,5,1,14.0,False
6575,5,2,283.0,False
6576,5,3,13324.0,False
6577,5,4,255843.0,False
6578,1,1,17.0,False
6579,1,2,580.0,False
6580,1,3,18181.0,False
6581,1,4,425543.0,False
6582,1,5,10000000.0,True
6583,3,1,11.0,False
6584,3,2,460.0,False
6585,3,3,7349.0,False
6586,3,4,412493.0,False
6587,5,1,5.0,False
6588,5,2,292.0,False
6589,5,3,15286.0,False
6590,5,4,254914.0,False
6591,1,1,23.0,False
6592,1,2,214.0,False
6593,1,3,15193.0,False
6594,1,4,509361.0,False
6595,1,5,10000000.0,True
6596,3,1,15.0,False
6597,3,2,354.0,False
6598,3,3,8602.0,False
6599,3,4,251944.0,False
6600,5,1,11.0,False
6601,5,2,267.0,False
6602,5,3,9880.0,False
6603,5,4,151733.0,False
6604,1,1,13.0,False
6605,1,2,468.0,False
6606,1,3,22165.0,False
6607,1,4,445959.0,False
6608,1,5,10000000.0,True
6609,3,1,11.0,False
6610,3,2,328.0,False
6611,3,3,6991.0,False
6612,3,4,505918.0,False
6613,5,1,12.0,False
6614,5,2,290.0,False
6615,5,3,12706.0,False
6616,5,4,350218.0,False
6617,1,1,27.0,False
6618,1,2,694.0,False
6619,1,3,8856.0,False
6620,1,4,273815.0,False
6621,1,5,10000000.0,True
6622,3,1,13.0,False
6623,3,2,375.0,False
6624,3,3,12806.0,False
6625,3,4,513624.0,False
6626,5,1,14.0,False
6627,5,2,494.0,False
6628,5,3,9110.0,False
6629,5,4,463887.0,False
6630,1,1,19.0,False
6631,1,2,433.0,False
6632,1,3,15289.0,False
6633,1,4,589917.0,False
6634,1,5,10000000.0,True
6635,3,1,8.0,False
6636,3,2,193.0,False
6637,3,3,12475.0,False
6638,3,4,357826.0,False
6639,5,1,11.0,False
6640,5,2,382.0,False
6641,5,3,9497.0,False
6642,5,4,198729.0,False
6643,1,1,20.0,False
6644,1,2,323.0,False
6645,1,3,17878.0,False
6646,1,4,461221.0,False
6647,1,5,10000000.0,True
6648,3,1,15.0,False
6649,3,2,430.0,False
6650,3,3,15758.0,False
6651,3,4,422346.0,False
6652,5,1,3.0,False
6653,5,2,221.0,False
6654,5,3,6652.0,False
6655,5,4,171815.0,False
6656,1,1,22.0,False
6657,1,2,493.0,False
6658,1,3,11075.0,False
6659,1,4,615367.0,False
6660,1,5,10000000.0,True
6661,3,1,11.0,False
6662,3,2,569.0,False
6663,3,3,11213.0,False
6664,3,4,221267.0,False
6665,5,1,10.0,False
6666,5,2,428.0,False
6667,5,3,10655.0,False
6668,5,4,375759.0,False
6669,1,1,20.0,False
6670,1,2,384.0,False
6671,1,3,10398.0,False
6672,1,4,362342.0,False
6673,1,5,10000000.0,True
6674,3,1,5.0,False
6675,3,2,445.0,False
6676,3,3,8934.0,False
6677,3,4,262846.0,False
6678,5,1,13.0,False
6679,5,2,214.0,False
6680,5,3,11463.0,False
6681,5,4,251906.0,False
6682,1,1,23.0,False
6683,1,2,462.0,False
6684,1,3,11176.0,False
6685,1,4,131196.0,False
6686,1,5,10000000.0,True
6687,3,1,7.0,False
6688,3,2,82.0,False
6689,3,3,11942.0,False
6690,3,4,416110.0,False
6691,5,1,8.0,False
6692,5,2,369.0,False
6693,5,3,10069.0,False
6694,5,4,223478.0,False
6695,1,1,16.0,False
6696,1,2,404.0,False
6697,1,3,17141.0,False
6698,1,4,397768.0,False
6699,1,5,10000000.0,True
6700,3,1,21.0,False
6701,3,2,305.0,False
6702,3,3,7646.0,False
6703,3,4,292267.0,False
6704,5,1,11.0,False
6705,5,2,340.0,False
6706,5,3,7834.0,False
6707,5,4,370501.0,False
6708,1,1,15.0,False
6709,1,2,484.0,False
6710,1,3,17001.0,False
6711,1,4,626158.0,False
6712,1,5,10000000.0,True
6713,3,1,15.0,False
6714,3,2,430.0,False
6715,3,3,12448.0,False
6716,3,4,224250.0,False
6717,5,1,14.0,False
6718,5,2,400.0,False
6719,5,3,13307.0,False
6720,5,4,278842.0,False
6721,1,1,27.0,False
6722,1,2,478.0,False
6723,1,3,5508.0,False
6724,1,4,425286.0,False
6725,1,5,10000000.0,True
6726,3,1,20.0,False
6727,3,2,291.0,False
6728,3,3,6537.0,False
6729,3,4,330114.0,False
6730,5,1,11.0,False
6731,5,2,338.0,False
6732,5,3,4424.0,False
6733,5,4,227126.0,False
6734,1,1,29.0,False
6735,1,2,328.0,False
6736,1,3,7522.0,False
6737,1,4,499577.0,False
6738,1,5,10000000.0,True
6739,3,1,17.0,False
6740,3,2,492.0,False
6741,3,3,8821.0,False
6742,3,4,332431.0,False
6743,5,1,16.0,False
6744,5,2,232.0,False
6745,5,3,13105.0,False
6746,5,4,507990.0,False
6747,1,1,23.0,False
6748,1,2,342.0,False
6749,1,3,11830.0,False
6750,1,4,601984.0,False
6751,1,5,10000000.0,True
6752,3,1,9.0,False
6753,3,2,464.0,False
6754,3,3,13583.0,False
6755,3,4,400427.0,False
6756,5,1,14.0,False
6757,5,2,213.0,False
6758,5,3,7510.0,False
6759,5,4,467804.0,False
6760,1,1,10.0,False
6761,1,2,273.0,False
6762,1,3,19142.0,False
6763,1,4,149996.0,False
6764,1,5,10000000.0,True
6765,3,1,7.0,False
6766,3,2,246.0,False
6767,3,3,13148.0,False
6768,3,4,381729.0,False
6769,5,1,7.0,False
6770,5,2,177.0,False
6771,5,3,9225.0,False
6772,5,4,121515.0,False
6773,1,1,19.0,False
6774,1,2,596.0,False
6775,1,3,19832.0,False
6776,1,4,595519.0,False
6777,1,5,10000000.0,True
6778,3,1,13.0,False
6779,3,2,125.0,False
6780,3,3,7481.0,False
6781,3,4,456280.0,False
6782,5,1,7.0,False
6783,5,2,192.0,False
6784,5,3,7234.0,False
6785,5,4,278843.0,False
6786,1,1,17.0,False
6787,1,2,400.0,False
6788,1,3,15792.0,False
6789,1,4,561601.0,False
6790,1,5,10000000.0,True
6791,3,1,16.0,False
6792,3,2,333.0,False
6793,3,3,6205.0,False
6794,3,4,479667.0,False
6795,5,1,17.0,False
